policy_ref,coverholder_id,coverholder_name,inception_date,expiry_date,class_of_business,insured_name,postcode,premium,sum_insured,underwriting_year,bound_month
POL-CH001-00001,CH001,Avonbridge Underwriting,2024-01-21,2025-01-21,Commercial Property,Walsh Inc,DL90 0EZ,4025,987633,2024,2024-01
POL-CH001-00002,CH001,Avonbridge Underwriting,2024-01-04,2025-01-04,Commercial Property,"Rees, Hall and Evans",CV28 8WG,6119,800242,2024,2024-01
POL-CH001-00003,CH001,Avonbridge Underwriting,2024-01-01,2025-01-01,Commercial Property,Thompson-Holland,TR5E 6WD,3904,1185582,2024,2024-01
POL-CH001-00004,CH001,Avonbridge Underwriting,2024-01-24,2025-01-24,Commercial Property,Hudson-Harrison,RM17 6ED,5166,750236,2024,2024-01
POL-CH001-00005,CH001,Avonbridge Underwriting,2024-01-09,2025-01-09,Commercial Property,Murray-Evans,CF91 8TG,4883,751523,2024,2024-01
POL-CH001-00006,CH001,Avonbridge Underwriting,2024-01-08,2025-01-08,Commercial Property,James Inc,G2 2SS,3613,901416,2024,2024-01
POL-CH001-00007,CH001,Avonbridge Underwriting,2024-01-08,2025-01-08,Commercial Property,"Reid, Turner and Ward",N1W 1QU,1789,483454,2024,2024-01
POL-CH001-00008,CH001,Avonbridge Underwriting,2024-01-05,2025-01-05,Commercial Property,"Carter, Chamberlain and Lawrence",B1 1ED,3491,634773,2024,2024-01
POL-CH001-00009,CH001,Avonbridge Underwriting,2024-01-24,2025-01-24,Commercial Property,Smith Ltd,PH67 9QG,4595,657044,2024,2024-01
POL-CH001-00010,CH001,Avonbridge Underwriting,2024-01-04,2025-01-04,Commercial Property,Marsh-Hardy,GU69 9JF,2420,1161450,2024,2024-01
POL-CH001-00011,CH001,Avonbridge Underwriting,2024-01-22,2025-01-22,Commercial Property,Thomas-Coleman,CB7B 1SE,3915,864349,2024,2024-01
POL-CH001-00012,CH001,Avonbridge Underwriting,2024-01-24,2025-01-24,Commercial Property,"Mitchell, Lamb and Jones",W5 7BT,2404,734318,2024,2024-01
POL-CH001-00013,CH001,Avonbridge Underwriting,2024-01-18,2025-01-18,Commercial Property,"Harris, Richards and Jones",WD2 4PE,4339,605413,2024,2024-01
POL-CH001-00014,CH001,Avonbridge Underwriting,2024-01-03,2025-01-03,Commercial Property,Jones and Sons,E66 8AL,4673,722364,2024,2024-01
POL-CH001-00015,CH001,Avonbridge Underwriting,2024-01-19,2025-01-19,Commercial Property,"Hill, Miller and Collins",S4C 7NQ,3832,722137,2024,2024-01
POL-CH001-00016,CH001,Avonbridge Underwriting,2024-01-14,2025-01-14,Commercial Property,"Graham, Robinson and Moore",G4J 2HD,6533,847131,2024,2024-01
POL-CH001-00017,CH001,Avonbridge Underwriting,2024-01-02,2025-01-02,Commercial Property,"Patel, Pollard and Hamilton",RH06 4RQ,2867,1024790,2024,2024-01
POL-CH001-00018,CH001,Avonbridge Underwriting,2024-01-01,2025-01-01,Commercial Property,Fraser and Sons,G77 1XW,2661,894383,2024,2024-01
POL-CH001-00019,CH001,Avonbridge Underwriting,2024-01-03,2025-01-03,Commercial Property,"Ali, Carter and George",N0C 2SS,1730,567760,2024,2024-01
POL-CH002-00020,CH002,Meridian Risk Solutions,2024-01-07,2025-01-07,EL/PL Liability,"Archer, Davies and Jones",LE7 6EB,3786,521421,2024,2024-01
POL-CH002-00021,CH002,Meridian Risk Solutions,2024-01-08,2025-01-08,EL/PL Liability,"Goddard, Ahmed and Jones",IP59 7ZS,2992,462362,2024,2024-01
POL-CH002-00022,CH002,Meridian Risk Solutions,2024-01-17,2025-01-17,EL/PL Liability,White LLC,E3 8TS,1724,410019,2024,2024-01
POL-CH002-00023,CH002,Meridian Risk Solutions,2024-01-20,2025-01-20,EL/PL Liability,Cox LLC,HD18 0FH,2671,632140,2024,2024-01
POL-CH002-00024,CH002,Meridian Risk Solutions,2024-01-01,2025-01-01,EL/PL Liability,Mason Inc,S7 2NX,3419,279619,2024,2024-01
POL-CH002-00025,CH002,Meridian Risk Solutions,2024-01-18,2025-01-18,EL/PL Liability,Page LLC,M9 0WB,3401,451864,2024,2024-01
POL-CH002-00026,CH002,Meridian Risk Solutions,2024-01-07,2025-01-07,EL/PL Liability,Mills Ltd,AB75 5BS,2470,576459,2024,2024-01
POL-CH002-00027,CH002,Meridian Risk Solutions,2024-01-23,2025-01-23,EL/PL Liability,Walker PLC,E1 3NT,4058,616410,2024,2024-01
POL-CH002-00028,CH002,Meridian Risk Solutions,2024-01-21,2025-01-21,EL/PL Liability,Singh and Sons,L83 6YT,2319,461348,2024,2024-01
POL-CH002-00029,CH002,Meridian Risk Solutions,2024-01-23,2025-01-23,EL/PL Liability,"Smith, Jackson and Russell",LL03 1PW,3408,621943,2024,2024-01
POL-CH002-00030,CH002,Meridian Risk Solutions,2024-01-18,2025-01-18,EL/PL Liability,Moran and Sons,EH21 2DW,2654,476792,2024,2024-01
POL-CH002-00031,CH002,Meridian Risk Solutions,2024-01-14,2025-01-14,EL/PL Liability,"Porter, Wright and Quinn",W85 1TJ,2071,350474,2024,2024-01
POL-CH002-00032,CH002,Meridian Risk Solutions,2024-01-08,2025-01-08,EL/PL Liability,Harris LLC,N8F 0DP,3855,669530,2024,2024-01
POL-CH002-00033,CH002,Meridian Risk Solutions,2024-01-15,2025-01-15,EL/PL Liability,Jones-Turnbull,SS3R 5SU,3033,625441,2024,2024-01
POL-CH003-00034,CH003,Fortis Professional Risks,2024-01-19,2025-01-19,Professional Indemnity,Knight-Morris,TQ97 0US,4435,1308418,2024,2024-01
POL-CH003-00035,CH003,Fortis Professional Risks,2024-01-09,2025-01-09,Professional Indemnity,Owen-Palmer,FK4P 7HU,8037,1189252,2024,2024-01
