policy_ref,coverholder_id,coverholder_name,insured_name,postcode,inception_date,premium,bound_month,is_breach
POL-CH004-00049,CH004,Southgate Property Partners,"Norton, Smith and Khan",L2 5VK,2024-01-23,1035.00,2024-01,t
POL-CH004-00113,CH004,Southgate Property Partners,Williamson-Hussain,NE2 5RC,2024-02-16,1448.00,2024-02,t
POL-CH004-00114,CH004,Southgate Property Partners,Johnson and Sons,PR1 2CM,2024-02-08,2142.00,2024-02,t
POL-CH004-00178,CH004,Southgate Property Partners,"Day, Stone and Davies",WN1 1MP,2024-03-04,1852.00,2024-03,t
POL-CH004-00169,CH004,Southgate Property Partners,Turner LLC,L2 5HP,2024-03-11,1967.00,2024-03,t
POL-CH004-00297,CH004,Southgate Property Partners,Smith Ltd,OL1 4QB,2024-05-28,1859.00,2024-05,t
POL-CH004-00358,CH004,Southgate Property Partners,"Barker, Patel and Mason",S2 4SF,2024-06-27,1814.00,2024-06,t
POL-CH004-00478,CH004,Southgate Property Partners,"Scott, Collins and Heath",LS1 4ZA,2024-08-27,1431.00,2024-08,t
POL-CH004-00541,CH004,Southgate Property Partners,Smith-Farmer,L1 2EL,2024-09-18,2682.00,2024-09,t
POL-CH004-00598,CH004,Southgate Property Partners,"Brown, Bates and Roberts",OL1 2KD,2024-10-27,1252.00,2024-10,t
POL-CH004-00658,CH004,Southgate Property Partners,"Reynolds, Hardy and Higgins",L2 1SY,2024-11-09,1560.00,2024-11,t
POL-CH004-00802,CH004,Southgate Property Partners,"Davies, Houghton and Ellis",CB1 5FB,2025-01-22,1260.00,2025-01,t
POL-CH004-00799,CH004,Southgate Property Partners,"Green, Smart and Evans",BS1 4FT,2025-01-06,2511.00,2025-01,t
POL-CH004-00940,CH004,Southgate Property Partners,Long-Jones,L2 6SQ,2025-03-05,1310.00,2025-03,t
POL-CH004-01005,CH004,Southgate Property Partners,Ahmed Inc,WN1 9EV,2025-04-18,1720.00,2025-04,t
POL-CH004-01068,CH004,Southgate Property Partners,Bennett-Martin,L1 5IA,2025-05-20,2933.00,2025-05,t
POL-CH004-01136,CH004,Southgate Property Partners,Bartlett PLC,NE2 5BP,2025-06-15,2020.00,2025-06,t
POL-CH004-00046,CH004,Southgate Property Partners,"Harris, Bray and McCarthy",RG1 1ZK,2024-01-28,1588.00,2024-01,f
POL-CH004-00050,CH004,Southgate Property Partners,"Wells, Lane and Davison",EC1 7AN,2024-01-03,1614.00,2024-01,f
POL-CH004-00048,CH004,Southgate Property Partners,Lawson-Anderson,BR1 4LX,2024-01-03,1802.00,2024-01,f
POL-CH004-00047,CH004,Southgate Property Partners,"Stokes, Williams and Nash",BN1 7NZ,2024-01-24,1959.00,2024-01,f
POL-CH004-00044,CH004,Southgate Property Partners,Jones and Sons,KT1 6PT,2024-01-11,1852.00,2024-01,f
POL-CH004-00045,CH004,Southgate Property Partners,Gallagher-Byrne,EC1 6OY,2024-01-04,1420.00,2024-01,f
POL-CH004-00052,CH004,Southgate Property Partners,Shah Group,OX1 2RO,2024-01-12,2818.00,2024-01,f
POL-CH004-00053,CH004,Southgate Property Partners,"Godfrey, Humphreys and Ward",SL1 3HZ,2024-01-20,1939.00,2024-01,f
POL-CH004-00054,CH004,Southgate Property Partners,Ellis PLC,SM1 6DE,2024-01-15,763.00,2024-01,f
POL-CH004-00055,CH004,Southgate Property Partners,Mitchell Group,SW1 4SO,2024-01-27,1832.00,2024-01,f
POL-CH004-00051,CH004,Southgate Property Partners,"Smart, Andrews and Brookes",BR1 3HU,2024-01-09,1712.00,2024-01,f
POL-CH004-00105,CH004,Southgate Property Partners,Hall Group,KT2 9BR,2024-02-13,1672.00,2024-02,f
POL-CH004-00106,CH004,Southgate Property Partners,Brown-O'Brien,SE1 2WU,2024-02-09,1844.00,2024-02,f
POL-CH004-00107,CH004,Southgate Property Partners,"Hardy, Phillips and Roberts",OX1 6ND,2024-02-22,791.00,2024-02,f
POL-CH004-00108,CH004,Southgate Property Partners,"Pritchard, Rose and James",TN1 8QL,2024-02-04,929.00,2024-02,f
POL-CH004-00112,CH004,Southgate Property Partners,Harrison-Richards,SE1 6HB,2024-02-12,1916.00,2024-02,f
POL-CH004-00109,CH004,Southgate Property Partners,Jones-Howarth,RG1 9UO,2024-02-01,2388.00,2024-02,f
POL-CH004-00110,CH004,Southgate Property Partners,Davies Inc,EC1 5RN,2024-02-25,1218.00,2024-02,f
POL-CH004-00111,CH004,Southgate Property Partners,"Hurst, Anderson and Burns",GU1 3OY,2024-02-27,2166.00,2024-02,f
POL-CH004-00175,CH004,Southgate Property Partners,Day Group,IG1 3XC,2024-03-08,1741.00,2024-03,f
POL-CH004-00176,CH004,Southgate Property Partners,Simpson-Gregory,KT2 4IQ,2024-03-14,2172.00,2024-03,f
POL-CH004-00177,CH004,Southgate Property Partners,Gregory-Morris,IG1 9RP,2024-03-28,1921.00,2024-03,f
POL-CH004-00179,CH004,Southgate Property Partners,Foster-Smith,SL1 3JM,2024-03-03,1813.00,2024-03,f
POL-CH004-00170,CH004,Southgate Property Partners,"Oliver, Robinson and Rees",CT1 8UF,2024-03-22,2263.00,2024-03,f
POL-CH004-00171,CH004,Southgate Property Partners,Ellis LLC,EN1 4JK,2024-03-08,1789.00,2024-03,f
POL-CH004-00172,CH004,Southgate Property Partners,James-Roberts,HA1 6CY,2024-03-04,1790.00,2024-03,f
POL-CH004-00173,CH004,Southgate Property Partners,King Group,SW1 2QH,2024-03-14,1974.00,2024-03,f
POL-CH004-00174,CH004,Southgate Property Partners,"Scott, Jennings and Moore",CM1 2FB,2024-03-02,2080.00,2024-03,f
POL-CH004-00242,CH004,Southgate Property Partners,Johnson-Khan,KT1 6OC,2024-04-05,2831.00,2024-04,f
POL-CH004-00236,CH004,Southgate Property Partners,Patterson-Kaur,EC1 2MY,2024-04-15,2276.00,2024-04,f
POL-CH004-00235,CH004,Southgate Property Partners,Alexander-Davies,SW6 1AZ,2024-04-11,1215.00,2024-04,f
POL-CH004-00234,CH004,Southgate Property Partners,Kelly Ltd,AL1 8MF,2024-04-09,1031.00,2024-04,f
POL-CH004-00233,CH004,Southgate Property Partners,Phillips Ltd,SG1 4EA,2024-04-07,1909.00,2024-04,f
POL-CH004-00232,CH004,Southgate Property Partners,Lane-Burgess,SG1 5HN,2024-04-20,1284.00,2024-04,f
POL-CH004-00231,CH004,Southgate Property Partners,Elliott-Phillips,SL1 1EG,2024-04-04,2404.00,2024-04,f
POL-CH004-00230,CH004,Southgate Property Partners,"Clarke, Cook and Ward",SL1 7TY,2024-04-03,1968.00,2024-04,f
POL-CH004-00237,CH004,Southgate Property Partners,Jackson-Rice,RG1 3MG,2024-04-18,2599.00,2024-04,f
POL-CH004-00238,CH004,Southgate Property Partners,"Collins, Turner and Parker",SL1 6JS,2024-04-12,1334.00,2024-04,f
POL-CH004-00239,CH004,Southgate Property Partners,Jordan-Perry,AL1 9XO,2024-04-10,2091.00,2024-04,f
POL-CH004-00240,CH004,Southgate Property Partners,Brooks PLC,AL1 2YD,2024-04-01,1697.00,2024-04,f
POL-CH004-00241,CH004,Southgate Property Partners,"Johnson, Booth and Chadwick",EC1 9XJ,2024-04-05,1053.00,2024-04,f
POL-CH004-00301,CH004,Southgate Property Partners,Doherty Inc,OX1 6ZR,2024-05-09,2660.00,2024-05,f
POL-CH004-00291,CH004,Southgate Property Partners,Kennedy PLC,KT1 4BR,2024-05-02,2023.00,2024-05,f
POL-CH004-00292,CH004,Southgate Property Partners,Cooper Inc,EN1 3VO,2024-05-22,1382.00,2024-05,f
POL-CH004-00293,CH004,Southgate Property Partners,Hicks-Walsh,RH1 7GP,2024-05-08,839.00,2024-05,f
POL-CH004-00294,CH004,Southgate Property Partners,"Holden, King and Robinson",CM1 7GH,2024-05-01,2153.00,2024-05,f
POL-CH004-00295,CH004,Southgate Property Partners,Hall Inc,SL1 5PT,2024-05-26,1951.00,2024-05,f
POL-CH004-00296,CH004,Southgate Property Partners,Murray-Miles,EC1 7PU,2024-05-06,3120.00,2024-05,f
POL-CH004-00298,CH004,Southgate Property Partners,Gilbert PLC,KT2 6PE,2024-05-07,2059.00,2024-05,f
POL-CH004-00299,CH004,Southgate Property Partners,Lucas-Begum,SM1 4YM,2024-05-10,1373.00,2024-05,f
POL-CH004-00300,CH004,Southgate Property Partners,Cross-Evans,DA1 6BK,2024-05-01,2816.00,2024-05,f
POL-CH004-00302,CH004,Southgate Property Partners,Williams-Burke,CM1 1MG,2024-05-21,1265.00,2024-05,f
POL-CH004-00303,CH004,Southgate Property Partners,"Quinn, Atkinson and Manning",RG1 3JI,2024-05-04,1830.00,2024-05,f
POL-CH004-00304,CH004,Southgate Property Partners,"Humphries, Singh and Nicholls",RG1 1DH,2024-05-19,886.00,2024-05,f
POL-CH004-00356,CH004,Southgate Property Partners,Hill-Davies,CR0 3JZ,2024-06-14,2347.00,2024-06,f
POL-CH004-00366,CH004,Southgate Property Partners,Johnson-Wade,GU1 7ZL,2024-06-15,2178.00,2024-06,f
POL-CH004-00357,CH004,Southgate Property Partners,Newton Group,DA1 9HG,2024-06-20,1109.00,2024-06,f
POL-CH004-00359,CH004,Southgate Property Partners,"Robertson, Dunn and Jones",SG1 8SG,2024-06-14,1408.00,2024-06,f
POL-CH004-00360,CH004,Southgate Property Partners,Fry-Khan,KT1 9JP,2024-06-15,1392.00,2024-06,f
POL-CH004-00361,CH004,Southgate Property Partners,Manning and Sons,TN1 2CU,2024-06-16,1040.00,2024-06,f
POL-CH004-00362,CH004,Southgate Property Partners,"Cross, Smith and Rogers",CM1 2TH,2024-06-10,1070.00,2024-06,f
POL-CH004-00363,CH004,Southgate Property Partners,"Akhtar, Wilson and Burton",SL1 5KZ,2024-06-27,2368.00,2024-06,f
POL-CH004-00364,CH004,Southgate Property Partners,"Cooper, Newton and Walters",ME1 1TO,2024-06-08,3221.00,2024-06,f
POL-CH004-00365,CH004,Southgate Property Partners,"Austin, Bennett and White",TW1 2RD,2024-06-02,1899.00,2024-06,f
POL-CH004-00367,CH004,Southgate Property Partners,Burgess-Jones,ME1 1PT,2024-06-16,1865.00,2024-06,f
POL-CH004-00369,CH004,Southgate Property Partners,Atkinson PLC,KT2 1NY,2024-06-08,1420.00,2024-06,f
POL-CH004-00368,CH004,Southgate Property Partners,Brown-Storey,EC1 7VZ,2024-06-25,1748.00,2024-06,f
POL-CH004-00428,CH004,Southgate Property Partners,"Smith, West and Graham",SM1 8VQ,2024-07-24,2118.00,2024-07,f
POL-CH004-00421,CH004,Southgate Property Partners,"Fitzgerald, Taylor and Davis",CR0 3AV,2024-07-05,1782.00,2024-07,f
POL-CH004-00422,CH004,Southgate Property Partners,"Stevens, Jackson and Frost",EN1 7DQ,2024-07-23,1520.00,2024-07,f
POL-CH004-00423,CH004,Southgate Property Partners,"Hart, Newman and Lloyd",EN1 1XF,2024-07-11,1791.00,2024-07,f
POL-CH004-00424,CH004,Southgate Property Partners,Douglas Inc,CR0 1EF,2024-07-07,3164.00,2024-07,f
POL-CH004-00425,CH004,Southgate Property Partners,Grant-Moore,CR0 8MH,2024-07-28,1535.00,2024-07,f
POL-CH004-00426,CH004,Southgate Property Partners,Thomson-Evans,AL1 7QF,2024-07-01,2168.00,2024-07,f
POL-CH004-00427,CH004,Southgate Property Partners,Thompson LLC,EN1 9RS,2024-07-28,2115.00,2024-07,f
POL-CH004-00429,CH004,Southgate Property Partners,Dawson and Sons,UB1 1YP,2024-07-08,2243.00,2024-07,f
POL-CH004-00430,CH004,Southgate Property Partners,Berry PLC,DA1 3YV,2024-07-13,2376.00,2024-07,f
POL-CH004-00487,CH004,Southgate Property Partners,Thomas-Ward,SE1 7NZ,2024-08-17,1906.00,2024-08,f
POL-CH004-00488,CH004,Southgate Property Partners,Davies Group,HA1 6JQ,2024-08-27,1427.00,2024-08,f
POL-CH004-00486,CH004,Southgate Property Partners,"Stokes, Morgan and Wilson",BR1 2IS,2024-08-12,1510.00,2024-08,f
